company,question,answer,pdf_page,question_id,chunk_id
мтс,1. Какая выручка компании мтс за 2024 год?,703 741 млн. руб.,12,0,мтс-p012-c001
хэдхантер,2. Какую чистую прибыль компания хэдхантер получила за 2024 год?,23 881 807 тыс. руб,8,1,хэдхантер-p009-c002
пао югк,3. Какова общая сумма активов компании пао югк на 31 декабря 2024 года?,154 631 млн. руб.,10,2,пао югк-p010-c002
пао афк система,4. Какова сумма денежных средств и их эквивалентов в компании пао афк система на 31 декабря 2024 года?,157 879 млн. руб,9,3,пао афк система-p009-c003
транснефть,5. Какова общая сумма долгосрочных кредитов и займов компании транснефть на 31 декабря 2024 года?,191 590 млн. руб.,5,4,транснефть-p005-c005
пао полюс,6. Какова общая сумма краткосрочных кредитов и займов компании пао полюс на 31 декабря 2024 года?,11 755 млн. руб.,11,5,пао полюс-p011-c005
пао дом рф,7. Какая сумма была выплачена в виде дивидендов компанией пао дом рф за 2024 год?,14 710 млн. руб.,8,6,пао дом рф-p008-c005
хэдхантер,"8. Какова была сумма налога на прибыль, уплаченная компанией Хэдхантер в 2024 году?",1 181 863 тыс. руб,10,7,хэдхантер-p010-c004
пао полюс,9. Каков размер уставного капитала компании пао полюс на 31 декабря 2024 года?,136 млн. руб.,11,8,пао полюс-p011-c003
мтс,10. Какова балансовая стоимость основных средств компании мтс на 31 декабря 2024 года?,339 510 млн. руб,10,9,мтс-p010-c001
лента,1. Какая выручка компании лента за 2024 год?,888 306 765 тыс. руб.,7,10,лента-p007-c001
пао славнефть-янос,2. Какую чистую прибыль компания пао славнефть-янос получила за 2024 год?,6 259 млн. руб.,6,11,пао славнефть янос-p007-c002
пао московский кредитный банк,3. Какова общая сумма активов компании пао московский кредитный банк на 31 декабря 2024 года?,5 008 951 млн. руб.,7,12,пао московский кредитный банк-p007-c004
пао ятэк,4. Какова сумма денежных средств и их эквивалентов компании пао ятэк на 31 декабря 2024 года?,1 895 млн. руб.,7,13,пао ятэк-p007-c003
пао омз,5. Какова общая сумма долгосрочных кредитов и займов компании пао омз на 31 декабря 2024 года?,11 304 427 тыс. руб.,39,14,пао омз-p039-c005
пао омз,6. Какова общая сумма краткосрочных кредитов и займов компании пао омз на 31 декабря 2024 года?,10 613 014 тыс. руб.,39,15,пао омз-p039-c002
ашинский металлургический завод,7. Какая сумма была выплачена в виде дивидендов компанией ашинский металлургический завод за 2024 год?,29 944 632 тыс. руб,10,16,ашинский металлургический завод-p010-c005
ашинский металлургический завод,"8. Какова была сумма налога на прибыль, уплаченная компанией ашинский металлургический завод в 2024 году?",1 656 818 тыс. руб.,10,17,ашинский металлургический завод-p010-c003
пао оак,9. Каков размер уставного капитала компании пао оак на 31 декабря 2024 года?,268 498 млн. руб.,8,18,пао оак-p008-c004
башнефть,10. Какова балансовая стоимость основных средств компании на 31 декабря 2024 года?,579 962 млн. руб,26,19,башнефть-p026-c004
магнит,1. Какая выручка компании магнит за 2024 год?,3 043 433 503 тыс. руб,11,20,магнит-p011-c001
озон,2. Какую чистую прибыль/убыток компания озон получила за 2024 год?,(59 470) млн руб,8,21,озон-p010-c004
глобалтрак менеджмент,3. Какова общая сумма активов компании глобалтрак менеджмент на 31 декабря 2024 года?,12 720 499 тыс руб,9,22,глобалтрак менеджмент-p009-c003
сбер,4. Какова сумма денежных средств и их эквивалентов компании сбер на 31 декабря 2024 года?,"2 252,2 млрд. руб",6,23,сбер-p006-c001
лукойл,5. Какова общая сумма долгосрочных кредитов и займов у лукойл на 31 декабря 2024 года?,326 050 млн. руб,6,24,лукойл-p006-c003
мечел,6. Какова общая сумма краткосрочных кредитов и займов у мечел на 31 декабря 2024 года?,227 819 млн руб,8,25,мечел-p008-c009
русагро,7. Какая сумма была выплачена ругарго в виде дивидендов за 2024 год?,0 тыс.руб,43,26,русагро-p043-c002
газпром,"8. Какова была сумма налога на прибыль, уплаченная компанией газпром в 2024 году?",(96 466 375) тыс руб,18,27,газпром-p018-c001
сбер,9. Каков размер уставного капитала компании сбер на 31 декабря 2024 года?,"320,3 млрд руб",6,28,сбер-p006-c004
мечел,10. Какова балансовая стоимость основных средств компании мечел на 31 декабря 2024 года?,109 530 млн руб,8,29,мечел-p008-c001
инарктика,1. Какая выручка компании инарктика за 2024 год?,"31,545,568 (тысяч рублей)",10,30,инарктика-p010-c001
европлан,2. Какую чистую прибыль/убыток компания европлан получила за 2024 год?,14 909 759 (тысяч рублей),9,31,европлан-p009-c006
норильский никель,3. Какова общая сумма активов компании норильский никель на 31 декабря 2024 года?,2 355 804 (млн рублей),8,32,норильский никель-p008-c002
тбанк,4. Какова сумма денежных средств и их эквивалентов у тбанк на 31 декабря 2024 года?,1 469 446 (млн руб),21,33,тбанк-p021-c003
тмк,5. Какова общая сумма долгосрочных кредитов и займов у тмк на 31 декабря 2024 года?,259 465 (млн руб),6,34,тмк-p006-c004
тмк,6. Какова общая сумма краткосрочных кредитов и займов у тмк на 31 декабря 2024 года?,122 269 (млн руб),6,35,тмк-p006-c003
м.видео,7. Какая сумма была выплачена в виде дивидендов компанией м.видео за 2024 год?,"""В июне 2024 года общее собрание акционеров Компании приняло решение дивиденды не выплачивать.""",49,36,м видео-p049-c005
роснефть,8. Каков размер уставного капитала компании роснефть на 31 декабря 2024 года?,1 млрд руб,5,37,роснефть-p005-c001
роснефть,9. Какова балансовая стоимость основных средств компании роснефть на 31 декабря 2024 года?,13 936 (млрд руб),5,38,роснефть-p005-c001
русал,"10. Какова была сумма налога на прибыль, уплаченная компанией русал в 2024 году?",55 (млн долл США),10,39,русал-p010-c002
росинтер ресторантс холдинг,1. Какая выручка компании росинтер ресторантс холдинг за 2024 год?,7 765 554 тыс. руб,12,45,росинтер ресторантс холдинг-p012-c001
росинтер ресторантс холдинг,2. Какую чистую прибыль/убыток компания росинтер ресторантс холдинг получила за 2024 год?,1 503 тыс. руб,12,46,росинтер ресторантс холдинг-p012-c002
росинтер ресторантс холдинг,3. Какова общая сумма активов компании росинтер ресторантс холдинг на 31 декабря 2024 года?,8 358 390 тыс. руб,11,47,росинтер ресторантс холдинг-p011-c001
башинформсвязь,4. Какова сумма денежных средств и их эквивалентов у башинформсвязь на 31 декабря 2024 года?,3 588 111 тыс. руб,10,48,башинформсвязь-p008-c002
росинтер ресторантс холдинг,5. Какова общая сумма долгосрочных кредитов и займов у росинтер ресторантс холдинг на 31 декабря 2024 года?,13 331 тыс руб,11,49,росинтер ресторантс холдинг-p011-c004
росинтер ресторантс холдинг,6. Какова общая сумма краткосрочных кредитов и займов у росинтер ресторантс холдинг на 31 декабря 2024 года?,2 389 654 тыс руб,11,50,росинтер ресторантс холдинг-p011-c005
башинформсвязь,8. Каков размер уставного капитала компании башинформсвязь на 31 декабря 2024 года?,985 189 тыс руб,8,51,башинформсвязь-p008-c004
башинформсвязь,9. Какова балансовая стоимость основных средств компании башинформсвязь на 31 декабря 2024 года?,10 928 255 тыс руб,8,52,башинформсвязь-p008-c001
башинформсвязь,"10. Какова была сумма налога на прибыль, уплаченная компанией башинформсвязь в 2024 году?",798 281 тыс руб,9,53,башинформсвязь-p009-c004
